id,text
1,1. 유몽 학원에 오신걸 환영합니다. 유몽학원의 첫인상은 어떠신가요?
2,2. 저희 게임(걸스 X 배틀2)을 어떤 경로를 통해 알게되셨나요?
3,3. 애니메이션·만화·게임 등의 콘텐츠에 대해서 본인이 가장 선호하는 분야를 선택하세요.
4,4. 평소 어떤 게임을 플레이하고 있습니까? (복수 선택 가능)
5,5. 아래의 모바일 게임 장르에서 플레이 해봤거나 자주 본 것은 무엇인가요? (복수 선택 가능)
6,6. 모바일 게임에서 충전하신 금액은 총 얼마입니까?
7,7. 게임을 플레이하는 동기가 어떻게 되나요? (최대 2항목 선택 가능)
8,8. 취미가 무엇인가요? (복수 선택 가능)
9,9. 당신의 성별은 무엇인가요?
10,10. 당신의 나이는 어떻게 되나요?
11,11. 아래 항목 중 본인이 해당하는 것은 무엇인가요?
12,"12. 최근 게임 플레이 중 현재 가장 목표로 하는 것은 무엇인가요? 저는 선배님이 캐릭터 수집, 크리스탈 업그레이드, 마물 육성, 옥상 정복 혹은 제가 생각하지 못한 다른 일을 목표로 하고 계신가요? (선택 사항)"
13,본 게임(걸스 X 배틀2)을 얼마나 이용하셨나요?
14,본 게임(걸스 X 배틀2)의 레벨이 어떻게 되시나요?
15,지난 2주간 본 게임(걸스 X 배틀2)을 플레이한 시간이 어떻게 되나요?
16,게임 플레이 시간이 적은 이유는 무엇인가요? (복수 선택 가능)
17,지금까지 플레이하면서 본 게임(걸스 X 배틀2)에 대해 어떻게 생각하시나요?
18,본 게임(걸스 X 배틀2) 에 만족하는 부분은 무엇입니까? (복수 선택 가능)
19,본 게임(걸스 X 배틀2)에 불만족하는 부분은 무엇입니까? (복수 선택 가능)
20,"스토리를 볼 때, 아래 중 어떤 생각을 가지고 계신가요?"
21,신규 소녀 '바닐라'에 대한 만족도는 어떠신가요?
22,뮤직 페스티벌 이벤트에 참여하셨고 잘 이해하셨나요?
23,뮤직 페스티벌 이벤트의 아래 내용에 대해 어떻게 생각하시나요?
24,뮤직 페스티벌의 스토리에 대한 만족도는 어떠신가요?
25,뮤직 페스티벌 이벤트에 참여하지 않은 이유를 알려주세요. (복수 선택 가능)
26,뮤직 페스티벌 이벤트의 한정 스킨에 대해서 어떻게 생각하십니까?
27,혹시 고대 서적 연구와 도서관의 관찰자 이벤트를 잘 이해하셨나요?
28,논문 연구 이벤트의 아래 내용에 대해 어떻게 생각하시나요?
29,"메인 스토리에 대해서, 아래 내용에 동의하십니까?"
30,새로운 스토리의 위연의 일러스트에 대해 어떻게 생각하시나요?
31,고대 서적 연구와 도서관 관측자 이벤트에 참여하지 않은 이유를 알려주세요. (복수 선택 가능)
32,왈큐레 스킨에 대해서 어떻게 생각하십니까?
33,인피니트 리그에 참가하셨나요?
34,인피니트 리그에 대해서 어떻게 생각하시나요?
35,인피니트 리그에 참가하지 않은 이유를 알려주세요. (복수 선택 가능)
36,아래 중 본 게임(걸스 X 배틀2)에 대해 다른 플레이어와 정보 교환에 이용한 적이 있는 것을 선택해 주세요. (복수 선택 가능)
37,향후 업데이트 내용에서 기대하는 것은 어느 부분인가요? (복수 선택 가능)
