name,translation
MAIN_STORY,메인 스토리
MAIN_SCHOOL,학원
MAIN_ARENA,챌린지
SEVENDAY_NORMAL,[c][5c5c5c][size=42][sc][ffffff]{1}[-][/c][-][/sc]일째
SEVENDAY_AVAILABEL,[c][d76500][size=42][sc][ffffff]{1}[-][/c][-][/sc]일째
SEVEN_DAY_DES1,[sc][d36901]2일[/sc] 연속 로그인으로 [sc][d36901]5성 소녀 조조[/sc] 획득!
SEVEN_DAY_DES2,[sc][d36901]7일[/sc] 연속 로그인으로 [sc][d36901]소녀 스킨[/sc] 획득!
CONCERN_SNS_HTTP_H5,https://www.facebook.com/ko.gxb2/
NEED_GO_APPSTORE,앱스토어로 가서 게임을 업데이트 해주세요.
ACCOUNT_IS_BANNED,해당 계정은 차단되었습니다.
NEW_GAME_RESOURCE_LOADED,게임이 업데이트되었습니다. 다시 로그인하시길 바랍니다!
CONCERN_SNS_HTTP,https://cafe.naver.com/yumeacademykr
WELFARE_LIMIT_NUM,{1}/[size=15]{2}[-]
TERMS_SERVICE_URL_UNITY_IOS,http://www.soaindo.com/article/terms_of_use
PRIVACY_POLICY_URL_UNITY_IOS,http://www.soaindo.com/article/privacy_policy
