id,text
110010201,스키란게 얼마나 재밌는건데! 스키를 타본적 없는 사람은 인생을 즐길줄 모르는 사람이지!
110010202,예~ 바람보다 빠르게~
110010203,"더, 더 빠르게! 눈밭과의 싸움~!"
110010204,나 먼저 갈게! 빨리 따라와~
110010205,역시 겨울이 최고야~ 모두와 함께 스키를 즐길 수 있잖아!
110010301,뭔가 더 신나는거 없을까?
110010401,"스트레이트, 코너! 스퍼트 걸고~ 브레이크! 스키 테크닉이라면 뭐든 할 수 있어! 주인님도 함께 스키 타요~!"
110010501,-1
110010601,얼음가호!
110010701,"고마워요, 선배!"
110010801,"어떤 설산이든, 내 스키만 있다면 괜찮아!"
110011101,다음에 장비를 새로 만들 때는 스키가 갖고 싶어.
110011102,이 장비를 차고 스키를 타볼까? 새로울지도!
110012801,"스키 알려줄까? 한번이라도 좋으니깐 해봐, 절대 후회하지 않을거야!"
110011301,릴렉스 릴렉스! 마음먹어도 소용없어!
110011401,으아아아아아아아아아악. 넘어졌어……
110011501,-1
110011502,-1
110011503,-1
110011504,-1
110011601,"저 눈 내린 산에 맹세해요, 오늘부터 우리의 운명은 이 스키와 같아요. 둘이 함께예요!"
110011701,스키 새로 샀어! 봐봐!
110011801,이런 좁은 방에 틀어박혀 있지 말고 나랑 스키 타러 가자구!
110011901,운동하니까 피곤하지? 푹 쉬어~
110012001,"같이 아르바이트? 응 좋아, 새로운 스키용품 사고 싶었어!"
110012101,미션 보상 잊지마!
110012201,"스키 타기 전에, 설산의 날씨라든지 확인하잖아. 그거랑 똑같이 학원의 상황 확인도 잊지말고!"
110012301,"이런걸 누가 좋아한다고, 바보!"
110012401,나한테 주는거야? 고마워~ 거기 놔두고 나랑 스키타러 가자~
110012501,"방금 스키탈 때, 네가 가지고 있는거 봤어. 선물이었다니~ 고마워, 기쁜걸~"
110012601,"어서오세요, 선배님!"
110020201,졸려~ 벌써 아침? 에? 점심이구나.
110020202,자장~ 자장~ 빨리 자자~
110020203,점심 시간에 깨워줘!
