id,title_1,unknown_3,Contents_1,Contents_4
1,“Limit Event”Unlock!,"Senpai, new events are begun, hurry up to finish them!","Senpai, new events are begun, hurry up to finish them!","선배님, 새로운 이벤트가 시작되었습니다, 놓치지 말고 참가해보세요!"
2,You have unfinished daily quizzes!,"Senpai, don’t miss your daily mission~","Senpai, don’t miss your daily mission~",선배! 일일 테스트를 아직 클리어하지 않았어요. 잊지마세요!
3,This world needs you!,Senpai! Come see the new changes on campus!,Senpai! Come see the new changes on campus!,"선배님, 우리 캠퍼스에 변화가 생겼어요!"
4,This world needs you!,"Senpai, your girls are miss you badly, hurry back!","Senpai, your girls are miss you badly, hurry back!",선배! 소녀가 선배님을 기다리고 있답니다! 빨리 돌아오세요!
5,This world needs you!,"Senpai, your girls cannot fight without you, hurry back~","Senpai, your girls cannot fight without you, hurry back~",선배가 없으면 소녀들의 전투력이 크게 떨어집니다. 빨리 돌아가서 같이 싸워주세요!
6,This world needs you!,"Senpai, campus will be full of devils if you don’t come back!","Senpai, campus will be full of devils if you don’t come back!","선배, 빨리 돌아오시지 않으면, 학원이 악마에게 점령당하고 말거에요!"
7,This world needs you!,"Senpai, you truly want to abandon your battle girls?","Senpai, you truly want to abandon your battle girls?","선배, 돌아오시지 않는 건가요? 소녀들은 언제나 선배를 기다리고 있습니다."
8,You have unfinished internship!,"Senpai, you have uninitiated internship task, hurry to finish!","Senpai, you have uninitiated internship task, hurry to finish!","선배, 아직 완료하지 않은 아르바이트 미션이 있어요! 어서 시작해 보세요!"
9,Arena Rank Decline,Senpai! Your team was defeated in campus league! Revenge now!,"Senpai, your rank in Campus League is declined, time to check out!","선배, 학원 리그 팀이 패배했습니다. 어서 복수 해줍시다!"
10,Guild Notice Revise,Guild Notice changed: {1},Guild Notice changed: {1},동아리 공지를： {1} 로 변경
11,A message to guild leader,Leader! We need your help of building guild! Come back!,Leader! We need your help of building guild! Come back!,"동아리 회장님, 동아리에 문제가 발생했습니다. 빨리 와서 해결해 주세요!"
12,A message to guild leader,Leader! Our guild can't move on without you! Please come back!,Leader! Our guild can't move on without you! Please come back!,"선배님, 지금 동아리에서 동아리 회장을 필요로 합니다! 빨리 돌아와 주세요!"
13,A message to guild leader,Leader! Where are you? We have something serous happened in guild!,Leader! Where are you? We have something serous happened in guild!,회장님이 없는 동안 동아리의 발전이 더딥니다. 빨리 돌아와 주세요!
14,A message to guild leader,Leader! Do you really want to leave your guild? Please come back!,Leader! Do you really want to leave your guild? Please come back!,"선배, 동아리원들과 반친구들이 모두 선배를 기다리고 있답니다!"
15,Regarding to battle girls!,Senpai! How was your first day in campus? Was it great?,Senpai! How was your first day in campus? Was it great?,"선배, 학원생활은 어때요? 잘 지내고 계시죠!"
16,Regarding to battle girls!,Senpai! Girls were all talking about you these days!,Senpai! Girls were all talking about you these days!,"선배, 소녀들에게 좋은 선배라고 칭찬이 자자하더군요!"
17,Regarding to battle girls!,Senpai! You and your girls are working harder and harder! Fight!,Senpai! You and your girls are working harder and harder! Fight!,"선배, 소녀들과의 손발이 점점 척척 맞군요! 계속해서 힘내세요!"
18,Regarding to battle girls!,Senpai! You are the chosen one to help us defeat demons!,Senpai! You are the chosen one to help us defeat demons!,선배님 덕분에 악마를 쓰러뜨릴 수 있었습니다. 역시 선배님이에요!
19,Regarding to battle girls!,Senpai! Many girls are sending your letters! Come and see!,Senpai! Many girls are sending your letters! Come and see!,"선배, 선배를 좋아하는 소녀들이 많아요! 러브레터가 아주 많네요! 모두와 사이좋게 지내 봐요!"
20,Available Canteen Order!,Senpai! Please select your orders in Canteen!,Senpai! Please select your orders in Canteen!,"선배, 오늘 음식 주문을 까먹었나 보네요. 빨리 만들어 보세요!"
21,Go to challenge Guild Boss!,Senpai! You still have boss fight in guild! Come join the fight!,Senpai! You still have boss fight in guild! Come join the fight!,"선배님, 오늘 아직 동아리 퀘스트에 도전하지 않으셨나 보네요. 빨리 참여해 주세요!"
