id,title,name,desc
510001,Épreuve de l'Ombre,Fantôme Déchaîné,Augmente les dégâts infligés par vos Filles de la Maison Fantôme de 30%.
510002,Épreuve de l'Ordre,Autorité Suprême,Augmente les dégâts infligés par vos Filles de la Maison Humain de 30%.
510003,Épreuve des Marées,Chant de Pluie,Augmente les dégâts infligés par vos Filles de la Maison Monstre de 30%.
510004,Épreuve de l'Érudit,Esprit Vivace,Augmente les dégâts infligés par vos Filles de la Maison Fée de 30%.
510005,Épreuve du Néant,Ombre Trouble,Augmente les dégâts infligés par vos Filles de la Maison Démon de 30%.
510006,Épreuve Stellaire,Étoiles Filantes,Augmente les dégâts infligés par vos Filles de la Maison Ange de 30%.
510007,Épreuve de l'Intellect,Soleil Aveuglant,"Augmente les PV de vos Filles Guerrier de 20% et également leurs Attaques équivalent à 0,5% de leurs PV Max."
510008,Épreuve des Mages,Marée Magique,Augmente les dégâts infligés par vos Filles Mage de 6% pour chaque Fille Mage dans votre équipe.
510009,Épreuve de la Jungle,Sagesse Sauvage,Augmente les Critiques de vos Filles Éclaireur de 30%.
510010,Épreuve du Brouillard,Soleil Couchant,Augmente l'Attaque de vos Filles Assassin de 60%.
510011,Épreuve Cantique,Onde Sonore,Augmente les dégâts infligés par vos Filles de 30% à condition qu'une Fille Prêtre de votre équipe soit en vie.
520001,Épreuve de l'Ombre,Lame Torsadée,"Lorsqu'un ennemi reçoit un Coup Critique, augmente ses dégâts subis de 10% pendant 2 tours (non cumulable)."
520002,Épreuve de l'Ordre,Posture Défensive,Augmente de 30% les dégâts infligés et subis par vos Filles de la ligne avant.
520003,Épreuve des Marées,Force Brutale,"Lorsqu'une Fille alliée lance son Attaque Basique ou sa Compétence Active ciblant plus d'un ennemi, elle infligera 3% de dégâts supplémentaires pour chaque ennemi supplémentaire."
520004,Épreuve de l'Érudit,Péril Sinistre,Augmente de 10% les dégâts subis des Filles (alliées et ennemies) lorsqu'elles sous un Effet de Contrôle.
520005,Épreuve du Néant,Mumure des Cadavres,Augmente de 5% l'Attaque des Filles (alliées et ennemies) pour chaque Fille (alliée et ennemie) vaincue.
520006,Épreuve Stellaire,Gardiens des Cieux,Augmente de 20% la Résistance Totale de vos Filles et vos ennemis.
520007,Épreuve de l'Intellect,Divergence,"Moins de Filles d'une même Maison sont présentes dans votre équipe, plus vos Filles infligeront de dégâts (30% de dégâts supplémentaires au maximum)."
520008,Épreuve des Mages,Bonification Compétitive,Augmente de 60% le Bonus de Rivalité de Maison fournis à toutes les Filles (alliées et ennemies).
520009,Épreuve de la Jungle,Intraçable,Réduit de 30% les dégâts infligés par les Filles attaquant un ennemi de leur Maison Rivale (alliées et ennemies).
520010,Épreuve du Brouillard,Lame Masquée,Chaque 1% de Critique au-delà de 100% de Critique sera converti en 5% de Dégâts Critiques.
520011,Épreuve Cantique,Rempart Robuste,Réduit de 30% les dégâts infligés et subis par vos Filles de la ligne arrière.
500000,Épreuve des Bleus,Épreuve des Bleus,Aucun effet
500001,Épreuve des Bleus,Épreuve des Bleus,Aucun effet
