id,title,desc
1,심해의 용궁,
2,용궁의 주인,
3,정보통 헤르메스한테 말 걸기,
4,물건 구매하기,
5,똑똑한 제갈량한테 말걸기,
6,수상한 섬을 조사하기,
7,하늘로 날아간 노반한테 인사하기,
8,신비스러운 검은 점을 공격하기,
9,보물은 어디?,
10,심해 잠입,
11,후일담,
12,다이애나한테 말걸기,"""아이고, 이렇게 막 장난치면 안 돼."" 다이애나의 애완 동물들에게 쫓기며 물폭탄을 많이 맞았다. 이 물싸움에서 승리를 거두지 못하면 그들을 벗어날 수 없을 것 같다."
13,고양이를 보기,"""고양이를 쓰다듬고 싶나요? 쓰다듬어도 돼요."" 작고 부드럽고 따뜻한 고양이가 레비야의 품에 있다."
14,헤르메스한테 말걸기,"""눈길이 가는 곳이라면 언제든지 둘러보고 구매하세요~ 안 해도 괜찮아요. 자, 기념으로 이것들 좀 드세요."" 헤르메스는 오늘 마음이 후한 것 같다. 다들 그녀로부터 이상한 장난감들을 받는다."
15,페리시나한테 말걸기,"""매콤한 와사비 간장 아이스크림은 현재 구매할 수 없지만 그냥 아이스크림도 있어요!"" 페르시나는 모두에게 맛있고 일반 아이스크림을 준다."
16,큐피드가 뭘 하고 있는지 보기,큐피드는 무작위로 사랑의 마법의 광파를 물속으로 쏘아 물고기가 난동을 부린다. 그녀는 이 속도로 해양 생태계를 완전히 파괴할 것이다. 그녀를 막아야 된다.
17,왜 바다 위에 누군가가 춤을 추고 있지?,두 사람은 타락 천사의 황홀한 춤에 넋을 잃었다. 그들은 그녀의 춤을 오랫동안 지켜본다.
18,제갈량한테 말걸기,"""낚시를 계속 하고 싶어요? 자, 내 낚싯대를 가져가요."" 제갈량은 그들에게 자신의 낚싯대를 줬다."
19,드라큘라 뭘 하고 있는지 보기,"""거품이 다 어디로 갔지? 너무 깨지기 쉬웠나요? 내 마법으로 그들을 강화시켜야겠어…"" 세상을 돕기 위해 그들은 뱀파이어 여왕을 정복하려고 한다."
20,신비한 사람을 관찰하기,"""누구를 이상한 놈이라고 부르는 거야?! 당신은 이제 마법소녀로 선택되었으니, 밖으로 나가서 기적을 창조하세요! 슈우!""변신봉을 잡고 큰 소리를 지르는 건 유치한 일이긴 한데 다행하게도 이걸 목격하는 사람은 아무도 없다."
21,모델 되기,"그 둘은 그들의 시간에 대한 초상화를 받는다. 레비야는 만약 그들이 이것을 기억할 무언가를 원한다면 사진을 찍는 것이 더 빠를 것이라고 생각하지만, 그녀는 엘리시아 앞에서 이것을 언급하지 않을 만큼 충분히 현명하다."
22,노반한테 말걸기,"""자, 한 번 더 해보자!"" 노반이 두 사람을 잡고 하늘로 향해 날아간다."
23,좌자를 만난 곳 돌아가기,"두 사람 덕분에 좌자는 무사히 해변으로 돌아왔다. 하지만, 그녀의 향기가 남아서, 반짝이는 물고기들은 아직 흩어지지 않았습니다. 그들은 그 광경을 감상하며 시간을 보낸다."
