id,decision_desc
1,Auf dem Boden entdeckst du eine Öllampe. Aus dieser dringen Hilferufe heraus…
2,"Du entdeckst einen Hasen, der schnell an dir vorbei hüpft. Du willst ihm folgen, aber er ist schon in einem Loch verschwunden…"
3,An der Straße triffst du auf einen in Lumpen gekleideten Mann. Er gibt dir eine Bohne. Was tust du?
4,"Du kommst in das Zimmer und entdeckst einen Apfel auf dem Tisch. Es scheint, dass noch niemand davon abgebissen hat."
5,Auf dem Boden liegen Streichhölzer. Was tust du?
6,"Am Eingang der Höhe befindet sich eine Tür, für die ein Passwort erforderlich erscheint…"
7,"Als du auf der Straße läufst, merkst du dass ein kalter Wind bläst. Du wählst…"
8,"Du entdeckst einen geheimnisvollen Spiegel. Dieser sagt zu dir ""Du kannst mich etwas fragen""."
9,"In der Luft liegt ein süßer Duft. Du folgst ihm und entdeckt ein Haus, das aus Süßigkeiten besteht. Was tust du?"
10,Auf dem Weg entdeckst du einen Mann der eine Flöte spielt während er läuft. Du willst…
