id,title,text
1,제멋대로 고양이,"사람들은 고양이를 오만한 동물이라고 말하지만, 이 야생 고양이의 태도가 여전히 억지 쟁이라는 것을 설명해야 한다. 황월영이 처음 이 아이를 숲에서 발견했을 때 악전고투와 대량의 사역마 비스킷을 내준 끝에야 겨우 학원으로 데려가 「아묘」라고 이름을 붙였다. 황월영은 아묘가 다른 사역마들과 마찬가지로 학원의 일원이 되어 학생들과 친해지길 바랐지만, 몇 번이나 화상과 상처를 입으면서 동물보호부를 빠져나간 황월영은 끝내 마음에 상처를 입은 듯했다. 「이젠 무리야!!!!」 동물에 상냥하고 인내심 있게 동물을 다루는 그녀가 그런 것은 이번이 처음이었다. 하지만 결국, 아묘는 학원에 익숙해져 갔다. 귀여운 외모때문에 아묘를 귀여워하는 학생이 많았고, 녀석을 귀찮게 한 학생은 화염을 휘감고 있는 날카로운 발톱을 맛보았다. 여러가지로 문제를 일으키는 아묘이지만, 학원이 어려움에 빠졌을 때는, 그 힘으로 모두를 돕는다…… 그가 기분이 좋을 때만 말이다."
2,학원의 왕?,"학원에서 '누구의 삶이 가장 부러운가'를 조사한다면 10명 중 9명은 「아묘」라고 대답할 것이다. 아묘의 모습은 학원 어디에서나, 예를 들어 나무 위, 울타리 위, 교실, 운동장에서 나타나지만 대부분의 경우 아묘는 쿨쿨 잠을 잔다. 학생들이 교실에서 책과 씨름하거나 운동장에서 힘들게 훈련할 때 한쪽에서 느긋하게 잠을 자는 아묘를 보면서 느끼는 현타란. 아묘는 잠에서 깨면, 학원의 구석구석을 누비며 만나는 모든 사람을 훑어보면서 가끔씩 고개를 끄덕이는데 마치 자신의 영지를 순찰하는 것 같기도 하고… 이봐, 설마 자신을 학원의 주인으로 생각하는 거야?"
3,사냥꾼의 인내심,"어느 날, 황월영은 온갖 방법을 동원해 아묘를 설득해 신체 검사를 받았다. 통상적인 검진인데 황월영은 깜짝 놀랐다. 아묘의 몸은 큰 문제가 없지만 마력이 약해진 것도 이 때문일 것이다. 원인을 찾지 못했고, 마력을 회복하는 다양한 방법도 실패했다. 마력이 완전히 사라지면 도대체 어떤 영향을 끼칠까? 아묘는 더 이상 화염을 사용할 수 없게 될지도 모르고, 더 심각한 결과가 있을지도 모른다. 아묘의 그 여유로운 모습을 보면, 정작 아묘 자신은 도대체 전혀 모르고 있는 걸까, 아니면 일부러 마음 놓고 있는 걸까? 하지만 학원을 살펴보는 눈빛을 보면 사냥꾼의 눈을 하고 있다. 숲 속에 잠복해 있는 사냥꾼을 방불케 하며 적당한 때를 기다리고 있는 것 같다."
4,반역자 타이틀,"어두운 땅굴에서 태어난 아묘는 어릴 적부터 단단한 흙을 파내고 얼마 안 되는 꿈틀거리는 먹잇감을 찾아다녔고, 동시에 사방의 움직임에 항상 귀 기울이며 위험한 카오스를 경계했다. 그렇게 오랜 시간이 흘렀지만 신기하게도 아묘는 그들의 삶이 그렇지 않다는 것을 알고 있었다. 그리고 숲 속을 누비고 냇물에 뛰놀며 수렵과 화염의 신을 경건하게 숭배한다. 동료들이 카오스와의 싸움에서 잇따라 쓰러지는 것을 보면서 다른 방법을 찾지 않으면 이 땅굴들과 함께 땅바닥에 묻힌다고 생각했고, 그래서 아묘는 떠나기를 결심하고 무리들이 서식할 수 있는 편안한 곳을 찾아 나섰다. 그의 동료이자 낫을 휘두르는 소녀는 그가 신성한 전쟁에서 도망쳤다고 해서 그를 배신자라고 부를 것이다. 그러나 그가 민족을 떠날 때는 이미 반역자라는 오명을 쓸 각오를 한 상태였다. 지금까지 그는 몇 차례 아무런 공도 없이 돌아왔지만 이번에는 성공하든 실패하든 결국 마지막이 될 것이다."
5,소생,"유몽학원의 어둡고 깊은 지하 창고는 사람들의 기억처럼 그 구석에 여러 가지 이유로 버려진 물건들이 쌓여 있다. 창고 청소 중 한 기술부 학생이 얼룩덜룩한 로버트의 흔적을 발견했다. 이런 금속은 창고에서 흔치 않은 것이었는데 이 학생이 로버트를 숙소로 몰래 들여온 뒤 재가동해 소란이 빚어졌다. 미카엘 회장은 3시간 동안 열렬한 설교를 한 뒤 로버트가 자신에게 구조 요청을 하는 것을 보고 작동 지시를 내렸다고 털어놨다. 이 모든 것이 사실이라면 로버트는 진짜 고장이 아니었고, 이 모든 것은 우연이 아닐 것이다."
6,진화,"로버트는 재가동 후 기술부의 뜨거운 연구 대상이 됐다. 연구 시작과 동시에 그녀들은 로버트의 기술이 유몽의 기술과 확연히 다르다는 것을 발견하였다. 연구가 계속되자 더 기괴한 일이 벌어졌다. 파괴된 자료를 스스로 복구하기 시작했고, 비약적으로 발전했으며, 로버트의 기억체에는 매일 새로운 프로그래밍이 등장했다. 이 모든 것은 결국 실체의 외적 구현인 성장 기계가 됐다. 기술부원들은 이 광경을 보고 숨죽이고 있었다. 그들이 이해할 수 있는 기술을 훨씬 뛰어넘는 마법이었다. 안타까운 것은 기술부원들이 풍견 학부에서 왔으며 마법을 익히는 사람이 드물었다는 점이다."
7,노반의 야망,"100년 전쟁 때 로버트는 유몽 숲 근처로 가 유몽 군단에 의해 행방불명됐다. 이후 노반이 주도적으로 로버트에 대한 연구를 진행하면서 신비로운 기술들을 접하게 되었고 그의 마음속에는 열정적인 탐구의 불길이 타올랐다. 결국 난해하고 위력적인 발명품들을 만들어냈고, 모든 것을 버리고 신비한 기술의 기원을 찾아 결연히 떠나게 된다."
8,머나먼 하늘,"「추워.」 로버트가 보낸 첫 번째 의미 있는 문장이다. 「추워. 어두워.」 그러나 당시 방 안은 추위도, 어둠도 없었다. 결국 기술부 학생들은 온도와 밝기가 로버트에게 영향을 미치는지 몰랐던 것이다.\n로버트는 항상 먼 하늘을 올려다보았고, 공중에 떠 있는 구름은 로버트의 껍데기와 같은 흰색을 띄고 있었다. 신들의 시대에는 구름 위에 둥둥 떠다니는 흰색의 거대한 신을 믿는 사람이 있었다. 사람들은 그를 「구름 속의 흰 고래」, 「구름 위의 군주」, 또 「태양을 가린 강철 구름」이라고 불렀다. 로버트가 하늘을 보는 이유는 기계에도 신이 있기 때문일 것이다."
9,불청객,"대다수의 유몽학원 학생들은 마력의 흐름을 감지할 수 있지만 능력 면에서는 각기 다르다. 어느 날 갑자기 학원 주변에 이상한 마력이 흐르고, 폭풍처럼 세차게 흐르며 공중에 오랫동안 흩어지지 않았던 보랏빛 안개 소용돌이를 만들면서 거의 모든 학생들이 귀울림과 두통, 심지어 환각까지 갖게 되었다. 그 후 상처 투성이인 「스크류」가 소용돌이의 중심에 나타났다. 양 날개가 달려 있고 몸집이 가느다란 생물이 마력 난류와 직접 연결돼 있다는 것에는 의심의 여지가 없었다. 그래서 학원은 스크류를 세밀한 보호 속에 관리하고 있다."
10,미스테리,"「스크류」는 유몽학원에서 가장 기이한 생물 중 하나다. 그가 해롭지 않다는 것이 확인되자 학원은 생태계에 대한 연구를 시작했다. 「스크류」에 대해 말하자면, 음식은 결코 필수적인 게 아닌 것 같다. 황월영이 만든 사역마 비스킷을 기꺼이 먹지만, 아마도 그것은 단지 흥미를 위해서일 것이다. 한편 「스크류」는 뛰어난 마력을 보여줌으로써 마력의 난류를 일으킨 것으로 보인다. 근데 도대체 어떻게 아무런 근거도 없이 학원에 나타난 것일까? 더 중요한 질문에 대한 답은 끝내 찾지 못하고 있다."
11,「스크류」,"「스크류」라는 이름은 《무상한 생명의 본질-기본 소환술》이라는 고서에서 유래한 것으로 에그리트가 작명했다고 한다. 과거 마법사들이 신속하고 은밀하게 마법에 정통한 생물을 이용해 마법사만 해독할 수 있는 마력 서열 정보를 주고 받았던 것이 「스크류」라는 이름의 유래다. 시대를 앞서가는 의사소통 수단에 마법사들의 탁월한 능력까지 더해지면서 국가 위에 군림하여 은둔하는 조직이 만들어졌고 이들은 세계 각지의 정세에 영향을 미치고 있다. 그러다 과학에 기초한 통신 기술이 싹트기 시작하면서 일반인도 과거 마법에 가까운 언어를 구사할 수 있는 능력을 갖게 되었으며, 마법사들의 입지가 흔들리기 시작했다. 그러나 그 결과가 직접적인 충돌로 이어지지 않은 것은 얼마 뒤 세계가 카오스의 파도에 휩쓸리기 시작했기 때문이다."
12,뒤늦은 회신,"「스크류」라는 생물의 소환식이 적혀있는데 마법사들은 이 생물과 계약을 맺고 마력을 제공함으로써 그에 따른 충성을 얻는다. 그러나 책에서 소환이나 계약 해지 의식은 언급되지 않았다. 일반적으로 소환수는 소환사로부터 독립해 존재할 수 없다. 그러나 이 「스크류」는 거리가 얼마나 멀리 떨어져 있는 지를 초월해 학원으로 온다. 마력을 보충할 수 있는 어떤 방법을 알아낸 것이다... 아니면 아직도 누군가 마법의 힘을 지속적으로 제공하고, 이제 아무도 해독할 수 없는 메시지를 전하기를 기다리며 답장을 가지고 돌아오는 것일지도."
