id,desc,answer_desc,result_desc
1,"Du läufst mit dem Kopf gesenkt und spielst auf deinen eigenen Schatten treten. So merkst du nicht, dass du bereits in Knospes Garten gelandet bist. Nachdem sie dich belehrt hat, erhälst du Saatgut von ihr.",,
2,"Hottie hat gerade erfahren, dass alle ihre Schülerinnen die Klausur bestanden haben. Sie ist außer sich vor Freude und als sie dich in der Klassenzimmertür stehen sieht, schenkt sie dir ein Geschenk.",,
3,"Bunny und Historia wetteifern darum, wer als erstes eine Belohnung aus der Kapselmaschine zieht. Letztendlich hat keiner von ihnen etwas bekommen.",,
4,"Du erhälst ein Geschenk von Esau. Du freust dich schon riesig, als sie noch einen Satz hinzufügt und zwar, dass sie hofft, dass du dieses Geschenk an ihre Schwester Jakob weitergeben kannst. Auf keinen Fall sollst du es heimlich öffnen.",,
5,In der Bibliothek siehst du ein Buch flaschrum geöffnet auf dem Tisch liegen. Vermutlich hat es Jemand noch nicht fertig gelesen und liegen lassen.,Gib dieses Buch an Librarian.|Gib dieses Buch an Fenek.,"Dieses Buch hat Librarian nicht in der Bücherei gelassen, aber sie ist dennoch sehr erfreut, dass du als erstes an sie gedacht hast.|Fenek freut sich sehr, weil sie dieses Märchenbuch noch nicht fertig gelesen hat. Sie hat gerade angestrengt darüber nachgedacht, wo sie es denn nur hat liegen lassen~"
6,Du siehst einen blauen Knochen-Keks auf dem Boden. Sonst ist niemand in der Nähe.,Heb ihn auf und iss ihn.|Ignoriere ihn und laufe weiter.,"Aus dem Gras kommt plötzlich eine Katze heraus gesprungen und kratzt dich, weil du ihre Futter geklaut hast.|Du drehst dich nach ein paar Schritten um und entdeckst, dass der Keks bereits spurlos verschwunden ist."
7,"Du hast fertig gebadet und merkst, dass der Föhn im Waschraum kaputt ist. Du kannst deine Haare nicht föhnen.","Mit nassem Kopf zum Wohnheimszimmer zurückkehren.|Setz dich in den Eingang des Waschraums und warte, dass die Haare von alleine trocknen.","Gerade als du den Waschraum verlassen hast, triffst du auf Aurora. Du leihst dir ihren Föhn und trocknest deine Haare.|Während du im Eingang des Waschraums sitzt schläfst du ein. Deine nassen Haare wehen lange im kalten Wind und du kriegst eine ordentlich Erkältung."
8,Die Kirschblüten auf dem Campus sind aufgeblüht. In der sanften Frühlingsbrise fallen viele Kirschblütenblätter zu Boden.,Fege alle Kirschblütenblätter am Boden zusammen.|Genieße in Ruhe die schöne Atmosphäre des Campus.,"Gerade als du fast fertig bist mit Fegen kommt erneur eine Windböe und wirbelt die Blütenblätter erneut durch die Gegend.|Du genießt den Anblick der Blütenblätter zu lange und vergisst am Ende, dass du einen wichtigen Job zu erledigen hattest."
9,Die Einkaufsstraße ist heute sehr voll. Du gehst durch die Menge und siehst ein weißes paar Flügel.,Du streckst deine Hand aus und berührst die Flügel.|Du gehst an den Flügeln vorbei.,Die Flügelbesitzerin erschrickt sich und scheint ihre Fähigkeiten einzusetzen. Du verbrennst dir die Hand.|Phönix hat sich schon vor einer Weile verlaufen und ist sehr erfreut dich zu sehen. Sie umarmt dich und lässt dich sie zu ihren Lieblingsgeschäft bringen. Als Dankeschön schenkt sie dir eine ihrer Federn.
10,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
11,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
12,"Du triffst auf Feinde. Greifst du an? (Wenn du verlierst verlängert sich die Erkundungszeit. Wenn du dich vor der Herausforderung drückst, hast du keine Möglichkeit Belohnungen zu erhalten)",,"Dein Team besiegt die Feinde! |Obwohl ihr nicht gewonnen habt, kannst du sicher abziehen."
13,"Sonya läd dich ein ihr neues Gericht zu probieren. Direkt nachdem du einen Bissen gekostet hast, fällst du in Ohnmacht. Als du wieder aufwachst erfährst du, dass dieses Gericht extra für die Schulmädchen, die schlecht schlafen, entwickelt wurde.",,
14,"Auf der Straße triffst du KongMing. Du hoffst, dass sie dir helfen kann, die verloren gegangen Items zu suchen. Aber KongMing scheint etwas wichtigeres vor zu haben. Nachdem sie dir ein paar einfache Hinweise gegeben hat, ist sie schon wieder verschwunden.",,
15,"Du siehst, dass es neue Belohnungen in der Kapselmaschine gibt, aber du hast selber nicht mehr genug Ressourcen, um Kapseln zu ziehen. Um dieses Problem zu lösen, erledigst du deine Jobs noch fleißiger.",,
16,Du willst den Unterschied zwischen klarem und Schneeeis erfahren. Deshalb gehst du zu Fencer. Sie will es dir vorführen aber friert dich ausversehen ein.,,
17,"Auf einem Fest schlägt Jemand vor, das Licht auszuschalten und ""Reise aus Jerusalem zu spielen""",Trete Anastasias Team bei.|Trete Iron Fists Team bei.,"Alle sagen, dass Anastasia eine besondere Wahrnehmung im Dunkeln hat und ihre Teilnahme an so einem Wettbewerb nicht fair ist, bis sie schließlich zurück tritt. Ihr könnt am Ende nur die Teilnahmebelohnungen erhalten. |Iron Fist schwenkt im Dunklen wirr ihren Arm und zerstört einen Stuhl nach dem anderen. Ein gegnerisches Team scheidet aus, weil es keine Stühle mehr gibt, die geklaut werden können. Am Ende gewinnt dein Team, aber die Organisatoren nehmen die Hälfte eures Gewinns, um die Stühle zu reparieren."
