id,desc
40101,Vous vous faites griffer par Rumpy. Kira est désolée et pour se faire pardonner vous indemnise en vous donnant des Pièces d’Amour.
40102,Vous passez l’après-midi à jouer avec lui. Psychic pour vous remercier vous donne beaucoup de Pièces d’Amour.
40103,"Capsula arrive, trouve Lavli dans vos mains et vous soupçonne de l’avoir enlevé."
40201,"Comme leur qualité est mauvaise, vous passez beaucoup de temps à essayer de les vendre sans résultats."
40202,"Comme vous êtes leur premier client, Ésaü&Jacob vous sont très reconnaissants."
40203,Vous marchez dans la rue avec tous les ballons et attirer l’attention de tout le monde.
40301,Le goût de la nouvelle pâtisserie est très bizarre mais vous la finissez sans broncher.
40302,"Vous buvez une gorgée de leur nouveau produit, vous la recrachez et vous vous faites expulser du magasin."
40303,Vous trouvez leur nouveau produit délicieux et vous ne pouvez pas vous empêcher de faire leur promotion auprès des clients se trouvant aux alentours.
40401,Saint vous mène au DEF et vous fait devenir un de leur ouvrier.
40402,"Aquaris ne connaît pas du tout le chemin, vous vous perdez dans une forêt et vous tombez par hasard sur un coffre au trésor."
40403,Vous vous retrouvez au casino et gagnez des Pièces d’Amour.
40501,Valeera vous assure que ce n’est pas son livre.
40502,Libraria vous remercie et vous invite à manger une glace.
40503,Fenrir ne comprenant pas ce que c’est le déchire devant vous.
40601,"En demandant à Psychic si elle cherchait quelque chose, le chaton est rentré en toute sécurité au Club des Droits des Animaux"
40602,Le chaton renifle ce que vous lui proposez et s’en va.
40603,"En voyant Rumpy, le chaton se précipite sur lui pour se frotter à lui."
40701,Valeera trouve les oreilles très mignonnes et adore le porter car le serre-tête est très moelleux.
40702,Fenrir pense que ce serre-tête est utile à ceux à qui il manque une oreille et n’en veux donc pas
40703,"Les oreilles de lapin pendent et cachent ainsi votre vue, vous ne voyez pas votre chemin et ne cessez de trébucher en marchant."
40801,"Il contient une boulette de riz spéciale faite spécialement par Ithil, elle est très délicieuse."
40802,"C’est un plateau préparé par Aquaris dans lequel elle a jouté beaucoup trop de moutarde, les larmes vous montent aux yeux dès la première bouchée."
40803,"Tout ce qui se trouvait à l’intérieur a déjà été mangé par Quinie, il ne vous reste plus qu’à mourir de faim."
40901,Vous ne faites pas le poids et vous perdez tous vos biens.
40902,Gambler est agacée par votre refus et vous fait la tête pendant longtemps.
40903,"De façon inattendue, vous êtes extrêmement chanceux aujourd’hui et vous remportez le premier prix."
41001,Elle joua une partition au violon qui lui valut les applaudissements du public.
41002,Elle joua une partition au piano tellement belle que cela attira les papillons.
41003,"La harpe de Gabriel n’avait pas été réparée depuis longtemps, elle ne donc put produire qu’un son rauque qui effraya le public."
41101,"Le chiot mange six bols de croquettes par jour, votre situation financière, à l’origine pas très bonne, s’aggrave encore plus."
41102,Psychic vous annonce qu’elle ne peut pas l’accepter car le Club est déjà plein à craquer. Elle vous donne des Pièces d’Amour pour que vous en preniez soin.
41103,L’étudiante gérant le bureau des objets trouvés se moqua de vous jusqu’à ce que le chiot trouve une clé qu’elle cherchait depuis longtemps.
41201,"Alors que vous êtes sur le point de cueillir du muguet, Elfe Bourgeon accourt et vous ordonne de vous éloigner de son jardin."
41202,"Le panier rempli est très beau, mais malheureusement après un coup de vent très fort tous les pissenlits se sont faits emporter"
41203,"Les tournesols ont attiré l’attention de beaucoup d’étudiantes, mais également celle des abeilles."
41301,"Sonya sortit un ensemble complet de briquets, non seulement elle contribua à allumer le feu mais également à préparer un énorme festin."
41302,"Lavia accepta avec plaisir, cependant elle ne contrôla pas sa puissance et mit le feu également aux herbes à proximité."
41303,Saint Majesté utilisa son épée pour attirer la foudre pour qu’elle s’abatte sur une branche pour démarrer le feu.
41401,Vous ne vous attendiez pas à ce que ce soit un exemplaire unique et que sa valeur double.
41402,Vous lisez le livre et réaliser que toutes les méthodes sont obsolètes et inutiles.
41403,Vous lisez le livre et apprenez par hasard le secret caché de l’Académie Yume.
41501,Le patron du magasin trouve que vous gênez les autres clients et vous chasse avec colère.
41502,Vous trouvez un ensemble de vêtements qui a l’air d’être fait sur mesure pour vous et vous avez envie de l’acheter.
41503,"Sur le point de partir, le patron du magasin vous appelle et vous demande d’être mannequin dans le magasin, vous êtes ainsi rémunéré."
41601,"La bouteille est déjà vide, vous la jetez à la poubelle."
41602,"Après avoir payé, vous remarquez que le distributeur est cassé et vous ne pouvez pas récupérer votre bouteille."
41603,"Vous êtes le centième client, vous avez droit à un cappuccino gratuit."
41701,Après avoir cassé une douzaine d’assiettes vous vous faites virer.
41702,En nettoyant le sol vous trouvez deux billets pour un parc d’attractions.
41703,"Même après vous être préparé psychologiquement, à peine après avoir mis le pieds dans le Club, l’odeur vous fait vomir."
41801,"Vous êtes le millième client, vous pouvez manger gratuitement et obtenir un coupon de réduction."
41802,"Vous rencontrez Beary à l’intérieur, cette dernière paye généreusement l’addition pour vous."
41803,Vous êtes en train d’apprécier votre nourriture avec joie quand soudain la personne à côté de vous renverse sa boisson sur vous.
41901,"À la moitié du film, un problème technique survient et vous ne pouvez plus regarder le film."
41902,"Le film d’horreur est tellement réaliste que les autres spectateurs ne font que crier, gênant ainsi votre expérience de visionnage."
41903,Vous êtes tellement ému par le film que vous êtes obligé d’aller acheter un paquet de mouchoir pour essuyer vos larmes.
42001,Vous avez honte car l’étudiante à côté de vous soulève des haltères extrêmement lourds tandis que vous peinez à soulevez des haltères légers.
42002,Votre endurance est tellement bonne que vous cassez le tapis de course et devez payer pour les dommages.
42003,L’entraîneur s’avère être Fenrir. Vous finissez votre séance épuisé après un entraînement éprouvant.
42101,"La nourriture servie est dégueulasse, mais vous arrivez quand même à gagner de l'argent."
42102,Votre demande a été refusée. Vous déposez alors votre argent à la banque et obtenez beaucoup d’intérêts.
42103,Le groupe connaît un grand succès et gagne énormément de popularité.
