id,contents,title
1,"선배님, 자동 모드 보상이 가득 찼습니다. 빨리 받아 주세요!",자동 모드 보상
2,선배님~ 프리미엄 캡슐 뽑기 무료 찬스! 어서 뽑기를 돌려보세용~!,무료 캡슐 뽑기
3,"선배님, 마이다스의 손이 회복되었습니다. 어서 골드를 수령하세요!",마이다스의 손이 준비 되었습니다.
4,"선배님, 아직 획득하지 않은 일일 미션 보상이 있습니다! 보상을 놓치지 마세용!",미션 보상
5,"'학원 순찰'이 활성화되었습니다. 자, 학원을 지키러 출~동!",학원 순찰이 활성화 되었습니다.
6,"선배님, 새로운 메일이 도착했습니다. 어서 확인해 보세요!",새로운 메일을 받았습니다.
7,딩동~ 메시지가 도착하였습니다. 바로 확인해보세요~!,GM이 답장을 보내왔습니다.
8,"온라인 보상 시간이에요! 선배님, 어서 수령하세요!",온라인 보상을 수령하세요!
9,'소풍'이 활성화되었습니다. 소녀들의 손을 잡고 출~발!,「책의 정령 성역」이 활성화 되었습니다.
10,졸업을 하고 싶은 소녀가 선배님을 기다리고 있어용~!,
21,선배님! 소풍 수익게이지가 가득 찼습니다. 모두 받기를 클릭하여 수령하세요!,소풍 수익
22,"선배님, 소풍의 상자가 잠금 해제되었습니다!",상자 보상
23,인피니트 리그에서 진급하신 것을 축하드립니다! 어서 수비 진영을 설정하러 오세요!,인피니티 리그
24,인피니트 리그 포인트 전 곧 종료! 어서 전투하러 오세요!,인피니티 리그
